model,preprocess,feature_group,feature_count,horizon_hours,split,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,24,validation,0.1410823825860008,1800,0.14222222222222222,0.8442559909326426,0.4899730045836371,0.09434670790807378,0.30812770225287306,0.8125,0.7273316062176166,0.33068362480127184,0.47005649717514125
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,24,test,0.1410823825860008,1800,0.14222222222222222,0.8484278861722798,0.5025825751463069,0.09384255399034944,0.30585842702856886,0.76171875,0.7558290155440415,0.3409090909090909,0.47101449275362317
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,48,validation,0.12162119930929917,1800,0.14222222222222222,0.8735376862046632,0.5757604058412831,0.08635092745259015,0.2824383748768171,0.85546875,0.741580310880829,0.35436893203883496,0.5011441647597255
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,48,test,0.12162119930929917,1800,0.14222222222222222,0.882346988341969,0.5931549395441379,0.08484507418324091,0.2767136192105967,0.84375,0.7480569948186528,0.35702479338842974,0.5017421602787456
hist_gradient_boosting,raw_median,measurement_process_only,82,6,validation,0.13856120526945995,1800,0.14222222222222222,0.7609673534650259,0.3274112614615502,0.10911299245361449,0.3561303373747187,0.77734375,0.6237046632124352,0.2551282051282051,0.3841698841698842
hist_gradient_boosting,raw_median,measurement_process_only,82,6,test,0.13856120526945995,1800,0.14222222222222222,0.7629761374676165,0.31560133380847993,0.10960549720453368,0.3574959077666794,0.765625,0.6411917098445595,0.2613333333333333,0.38966202783300197
hist_gradient_boosting,raw_median,measurement_process_only,82,12,validation,0.12657974485037674,1800,0.14222222222222222,0.7717146008743523,0.3145648354575168,0.1094046833299821,0.3530962985704775,0.83984375,0.5997409326424871,0.2581032412965186,0.3948576675849403
hist_gradient_boosting,raw_median,measurement_process_only,82,12,test,0.12657974485037674,1800,0.14222222222222222,0.7715400340025907,0.31603267386179834,0.10952241269494171,0.35373313019971175,0.80078125,0.6172279792746114,0.25753768844221103,0.3897338403041825
hist_gradient_boosting,raw_median,measurement_process_only,82,24,validation,0.10514976025755517,1800,0.14222222222222222,0.7764709156411918,0.33298183714828666,0.10836268166176309,0.34896450304739574,0.8984375,0.5511658031088082,0.24918743228602383,0.39016115351993214
hist_gradient_boosting,raw_median,measurement_process_only,82,24,test,0.10514976025755517,1800,0.14222222222222222,0.7829223000323835,0.3506340939564958,0.10668727623829774,0.34582606780833797,0.86328125,0.564119170984456,0.24720357941834453,0.3843478260869565
hist_gradient_boosting,raw_median,measurement_process_only,82,48,validation,0.12200988284257511,1800,0.14222222222222222,0.8089302339702074,0.3816824694361882,0.10325970257040343,0.33147831148128054,0.82421875,0.6580310880829016,0.2855209742895805,0.42412060301507537
hist_gradient_boosting,raw_median,measurement_process_only,82,48,test,0.12200988284257511,1800,0.14222222222222222,0.8182784164507773,0.44726276434333595,0.09982056463879237,0.3234184984291902,0.81640625,0.6696891191709845,0.2906815020862309,0.4287179487179487
hist_gradient_boosting,raw_median,full_selected,341,6,validation,0.19290997301235388,1800,0.14222222222222222,0.7931635565090676,0.40545960329352504,0.10307205815719182,0.336641435178332,0.6640625,0.7875647668393783,0.3413654618473896,0.4509283819628647
hist_gradient_boosting,raw_median,full_selected,341,6,test,0.19290997301235388,1800,0.14222222222222222,0.8039512831930052,0.38566012163433816,0.10373524509883005,0.3342169768107822,0.59765625,0.8121761658031088,0.345372460496614,0.43776824034334766
hist_gradient_boosting,raw_median,full_selected,341,12,validation,0.12005757288783397,1800,0.14222222222222222,0.8252054323186528,0.44046202340868534,0.099012206668888,0.3214294749015092,0.84765625,0.6528497409326425,0.28818061088977426,0.4301288404360753
hist_gradient_boosting,raw_median,full_selected,341,12,test,0.12005757288783397,1800,0.14222222222222222,0.8293292584196892,0.42086138069774465,0.09961536323524793,0.3214055677696154,0.8125,0.6787564766839378,0.29545454545454547,0.43333333333333335
hist_gradient_boosting,raw_median,full_selected,341,24,validation,0.10276947501231491,1800,0.14222222222222222,0.8485316143134716,0.507530798644026,0.09262781615528608,0.3023482567561054,0.875,0.663860103626943,0.30148048452220727,0.44844844844844844
