model,horizon_hours,subgroup_type,subgroup_level,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
logistic,12,ICU类型,CCU,0.1149003365077756,277,0.17328519855595667,0.8022197962154294,0.5197288717868369,0.11715488006119988,0.3802512730252222,0.6875,0.74235807860262,0.358695652173913,0.4714285714285714
logistic,12,ICU类型,CSRU,0.1149003365077756,372,0.026881720430107527,0.8734806629834254,0.18493541677554934,0.027350376916371436,0.10763252847631581,0.7,0.8784530386740331,0.13725490196078433,0.22950819672131148
logistic,12,ICU类型,MICU,0.1149003365077756,627,0.19298245614035087,0.7203965635514324,0.36754005746442253,0.1496917140942533,0.46397004568965666,0.8016528925619835,0.5454545454545454,0.2966360856269113,0.4330357142857143
logistic,12,ICU类型,SICU,0.1149003365077756,524,0.14694656488549618,0.8060664168046718,0.39426633072363376,0.10740629074603726,0.34198647239015245,0.8051948051948052,0.6868008948545862,0.3069306930693069,0.4444444444444444
logistic,12,性别,女性,0.1149003365077756,772,0.1489637305699482,0.7551320230295812,0.31150647170646656,0.12091721977033884,0.38374477267689355,0.7478260869565218,0.6468797564687976,0.27044025157232704,0.3972286374133949
logistic,12,性别,男性,0.1149003365077756,1025,0.1375609756097561,0.8300519880620006,0.44167943509172325,0.09699087927445328,0.31143140701640937,0.8014184397163121,0.7273755656108597,0.3192090395480226,0.45656565656565656
logistic,12,性别,未知,0.1149003365077756,3,0.0,,,,,,,,
logistic,12,年龄,<45岁,0.1149003365077756,215,0.07441860465116279,0.7892587939698492,0.2458403295393879,0.06675210460622176,0.23562170032721377,0.625,0.8291457286432161,0.22727272727272727,0.3333333333333333
logistic,12,年龄,45–64岁,0.1149003365077756,581,0.09294320137693632,0.8448942300934711,0.387262674137885,0.07242167792613227,0.24194820649009421,0.7777777777777778,0.7685009487666035,0.25609756097560976,0.3853211009174312
logistic,12,年龄,65–79岁,0.1149003365077756,595,0.15126050420168066,0.7695269526952695,0.40028220155735766,0.11254416054122972,0.3662671544522971,0.7222222222222222,0.6732673267326733,0.2826086956521739,0.40625
logistic,12,年龄,≥80岁,0.1149003365077756,409,0.23471882640586797,0.7275359424920128,0.4000243645535639,0.16961215205479385,0.5044486624958878,0.8541666666666666,0.5143769968051118,0.3504273504273504,0.49696969696969695
